Point: 125	  Real: -0.623348	Image:   1.166202
Point: 126	  Real: -0.438051	Image:   0.819535
Point: 127	  Real: -0.519606	Image:   0.972114
Point: 128	  Real: 0.258394 	Image:  -0.025450
Point: 129	  Real: 0.463477 	Image:  -0.045648
Point: 130	  Real: 0.771515 	Image:  -0.075988
Point: 131	  Real: 0.622603 	Image:  -0.061321
Point: 132	  Real: 1.693620 	Image:  -0.166807
Point: 133	  Real: 1.315976 	Image:  -0.129612
Point: 134	  Real: 0.924787 	Image:  -0.091084
Point: 135	  Real: 1.096961 	Image:  -0.108041
Point: 136	  Real: 0.248464 	Image:  -0.075371
Point: 137	  Real: 0.445666 	Image:  -0.135191
Point: 138	  Real: 0.741866 	Image:  -0.225043
Point: 139	  Real: 0.598677 	Image:  -0.181607
Point: 140	  Real: 1.628535 	Image:  -0.494011
Point: 141	  Real: 1.265403 	Image:  -0.383856
Point: 142	  Real: 0.889247 	Image:  -0.269750
Point: 143	  Real: 1.054805 	Image:  -0.319972
Point: 144	  Real: 0.200708 	Image:  -0.164717
Point: 145	  Real: 0.360006 	Image:  -0.295449
Point: 146	  Real: 0.599275 	Image:  -0.491812
Point: 147	  Real: 0.483607 	Image:  -0.396886
Point: 148	  Real: 1.315520 	Image:  -1.079620
Point: 149	  Real: 1.022185 	Image:  -0.838886
Point: 150	  Real: 0.718329 	Image:  -0.589517
Point: 151	  Real: 0.852065 	Image:  -0.699272
Point: 152	  Real: 0.228986 	Image:  -0.122396
Point: 153	  Real: 0.410728 	Image:  -0.219539
Point: 154	  Real: 0.683708 	Image:  -0.365450
Point: 155	  Real: 0.551744 	Image:  -0.294913
Point: 156	  Real: 1.500866 	Image:  -0.802230
Point: 157	  Real: 1.166202 	Image:  -0.623348
Point: 158	  Real: 0.819535 	Image:  -0.438051
Point: 159	  Real: 0.972114 	Image:  -0.519606
Point: 160	  Real: 0.025450 	Image:  -0.258394
Point: 161	  Real: 0.045648 	Image:  -0.463477
Point: 162	  Real: 0.075988 	Image:  -0.771515
Point: 163	  Real: 0.061321 	Image:  -0.622603
Point: 164	  Real: 0.166807 	Image:  -1.693620
Point: 165	  Real: 0.129612 	Image:  -1.315976
Point: 166	  Real: 0.091084 	Image:  -0.924787
Point: 167	  Real: 0.108041 	Image:  -1.096961
Point: 168	  Real: 0.075371 	Image:  -0.248464
Point: 169	  Real: 0.135191 	Image:  -0.445666
Point: 170	  Real: 0.225043 	Image:  -0.741866
Point: 171	  Real: 0.181607 	Image:  -0.598677
Point: 172	  Real: 0.494011 	Image:  -1.628535
Point: 173	  Real: 0.383856 	Image:  -1.265403
Point: 174	  Real: 0.269750 	Image:  -0.889247
Point: 175	  Real: 0.319972 	Image:  -1.054805
Point: 176	  Real: 0.164717 	Image:  -0.200708
Point: 177	  Real: 0.295449 	Image:  -0.360006
Point: 178	  Real: 0.491812 	Image:  -0.599275
Point: 179	  Real: 0.396886 	Image:  -0.483607
Point: 180	  Real: 1.079620 	Image:  -1.315520
Point: 181	  Real: 0.838886 	Image:  -1.022185
Point: 182	  Real: 0.589517 	Image:  -0.718329
Point: 183	  Real: 0.699272 	Image:  -0.852065
Point: 184	  Real: 0.122396 	Image:  -0.228986
Point: 185	  Real: 0.219539 	Image:  -0.410728
Point: 186	  Real: 0.365450 	Image:  -0.683708
Point: 187	  Real: 0.294913 	Image:  -0.551744
Point: 188	  Real: 0.802230 	Image:  -1.500866
Point: 189	  Real: 0.623348 	Image:  -1.166202
Point: 190	  Real: 0.438051 	Image:  -0.819535
Point: 191	  Real: 0.519606 	Image:  -0.972114
Point: 192	  Real: -0.258394	Image:   -0.025450
Point: 193	  Real: -0.463477	Image:   -0.045648
Point: 194	  Real: -0.771515	Image:   -0.075988
Point: 195	  Real: -0.622603	Image:   -0.061321
Point: 196	  Real: -1.693620	Image:   -0.166807
Point: 197	  Real: -1.315976	Image:   -0.129612
Point: 198	  Real: -0.924787	Image:   -0.091084
Point: 199	  Real: -1.096961	Image:   -0.108041
Point: 200	  Real: -0.248464	Image:   -0.075371
Point: 201	  Real: -0.445666	Image:   -0.135191
Point: 202	  Real: -0.741866	Image:   -0.225043
Point: 203	  Real: -0.598677	Image:   -0.181607
Point: 204	  Real: -1.628535	Image:   -0.494011
Point: 205	  Real: -1.265403	Image:   -0.383856
Point: 206	  Real: -0.889247	Image:   -0.269750
Point: 207	  Real: -1.054805	Image:   -0.319972
Point: 208	  Real: -0.200708	Image:   -0.164717
Point: 209	  Real: -0.360006	Image:   -0.295449
Point: 210	  Real: -0.599275	Image:   -0.491812
Point: 211	  Real: -0.483607	Image:   -0.396886
Point: 212	  Real: -1.315520	Image:   -1.079620
Point: 213	  Real: -1.022185	Image:   -0.838886
Point: 214	  Real: -0.718329	Image:   -0.589517
Point: 215	  Real: -0.852065	Image:   -0.699272
